DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETVHSC,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETVHSP,DPNTALLC
"096905","TURKEY-QUITAQUE ISD",189,19,11,81,6,66,10.1,42.9,5.8,3.2,98.5,191
"097902","HAMILTON ISD",851,115,71,226,71,205,13.5,26.6,8.3,8.3,82.3,855
"097903","HICO ISD",642,94,65,211,17,169,14.6,32.9,10.1,2.6,92.3,643
"098901","GRUVER ISD",433,47,94,209,39,140,10.9,48.3,21.7,9,92.7,433
"098903","PRINGLE-MORSE CISD",119,12,34,34,0,24,10.1,28.6,28.6,0,82.8,119
"098904","SPEARMAN ISD",716,70,168,184,32,168,9.8,25.7,23.5,4.5,81.6,724
"099902","CHILLICOTHE ISD",196,48,45,55,20,55,24.5,28.1,23,10.2,94.8,196
"099903","QUANAH ISD",468,107,12,170,20,136,22.9,36.3,2.6,4.3,95.1,469
"100903","KOUNTZE ISD",1141,213,49,444,78,307,18.7,38.9,4.3,6.8,92.2,1143
"100904","SILSBEE ISD",2645,493,71,1038,172,642,18.6,39.2,2.7,6.5,77.8,2654
"100905","HARDIN-JEFFERSON ISD",2751,421,119,975,130,625,15.3,35.4,4.3,4.7,79.3,2754
"100907","LUMBERTON ISD",4184,599,114,1450,221,1125,14.3,34.7,2.7,5.3,91.1,4197
"100908","WEST HARDIN COUNTY CISD",540,124,1,180,41,143,23,33.3,0.2,7.6,80.3,541
"101802","SER-NINOS CHARTER SCHOOL",1154,46,1108,53,0,53,4,4.6,96,0,52,1154
"101803","ARISTOI CLASSICAL ACADEMY",1535,163,74,110,0,109,10.6,7.2,4.8,0,39.9,1535
"101804","GEORGE I SANCHEZ CHARTER",1125,91,777,465,0,464,8.1,41.3,69.1,0,84.1,1125
"101806","RAUL YZAGUIRRE SCHOOLS FOR SUCCESS",1887,201,1259,422,92,244,10.7,22.4,66.7,4.9,77.7,1888
"101810","ACADEMY OF ACCELERATED LEARNING INC",830,24,553,0,0,0,2.9,0,66.6,0,0,830
"101811","EXCEL ACADEMY",234,64,26,15,0,12,27.4,6.4,11.1,0,5.9,234
"101814","THE VARNETT PUBLIC SCHOOL",1142,63,686,4,0,0,5.5,0.4,60.1,0,0,1142
"101815","ALIEF MONTESSORI COMMUNITY SCHOOL",384,37,301,18,0,0,9.6,4.7,78.4,0,0,384
"101819","AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH",694,48,603,1,0,0,6.9,0.1,86.9,0,0,694
"101821","HOUSTON HEIGHTS HIGH SCHOOL",178,30,0,100,0,100,16.9,56.2,0,0,56.2,179
"101828","HOUSTON GATEWAY ACADEMY INC",2157,148,1205,194,0,192,6.9,9,55.9,0,48.6,2157
